"values","array"
4386.11,"C:"
4386.14,"C:"
4397.12,"C:"
4402.12,"C:"
4406.12,"C:"
4416.11,"C:"
4416.14,"C:"
4423.11,"C:"
4423.14,"C:"
4436.12,"C:"
4459.11,"C:"
4459.14,"C:"
4462.11,"C:"
4462.14,"C:"
4486.11,"C:"
4486.14,"C:"
4492.11,"C:"
4492.14,"C:"
4495.11,"C:"
4495.14,"C:"
4500.11,"C:"
4500.14,"C:"
4511.12,"C:"
4514.12,"C:"
4516.12,"C:"
4535.12,"C:"
4537.12,"C:"
4545.11,"C:"
4545.14,"C:"
4547.11,"C:"
4547.14,"C:"
4551.12,"C:"
4585.11,"C:"
4585.14,"C:"
4595.11,"C:"
4595.14,"C:"
4633.11,"C:"
4633.14,"C:"
4636.11,"C:"
4636.14,"C:"
4643.12,"C:"
4685.11,"C:"
4685.14,"C:"
4694.11,"C:"
4694.14,"C:"
4702.12,"C:"
4726.11,"C:"
4726.14,"C:"
4728.11,"C:"
4728.14,"C:"
4784.11,"C:"
4784.14,"C:"
4803.11,"C:"
4803.14,"C:"
4806.11,"C:"
4806.14,"C:"
4825.11,"C:"
4825.14,"C:"
4839.11,"C:"
4839.14,"C:"
4848.11,"C:"
4848.14,"C:"
4888.11,"C:"
4888.14,"C:"
4890.11,"C:"
4890.14,"C:"
4897.12,"C:"
4919.11,"C:"
4919.14,"C:"
4924.11,"C:"
4924.14,"C:"
4927.11,"C:"
4927.14,"C:"
4948.11,"C:"
4948.14,"C:"
4957.11,"C:"
4957.14,"C:"
4961.12,"C:"
5005.11,"C:"
5005.14,"C:"
5030.11,"C:"
5030.14,"C:"
5037.11,"C:"
5037.14,"C:"
5048.11,"C:"
5048.14,"C:"
5059.12,"C:"
5094.11,"C:"
5094.14,"C:"
5098.11,"C:"
5098.14,"C:"
5102.11,"C:"
5102.14,"C:"
5106.12,"C:"
5147.12,"C:"
5156.11,"C:"
5156.14,"C:"
5163.11,"C:"
5163.14,"C:"
5202.12,"C:"
5266.11,"C:"
5266.14,"C:"
5277.12,"C:"
5279.12,"C:"
5285.12,"C:"
5300.12,"C:"
5315.12,"C:"
5327.12,"C:"
5347.12,"C:"
5354.11,"C:"
5354.14,"C:"
5359.11,"C:"
5359.14,"C:"
5365.12,"C:"
5394.11,"C:"
5394.14,"C:"
5396.11,"C:"
5396.14,"C:"
5403.11,"C:"
5403.14,"C:"
5405.11,"C:"
5405.14,"C:"
5410.12,"C:"
5426.12,"C:"
5428.12,"C:"
5429.12,"C:"
5429.12,"C:"
5430.12,"C:"
5441.12,"C:"
5452.12,"C:"
5453.12,"C:"
5455.12,"C:"
5477.11,"C:"
5477.14,"C:"
5484.11,"C:"
5484.14,"C:"
5491.11,"C:"
5491.14,"C:"
5494.11,"C:"
5494.14,"C:"
5495.12,"C:"
5528.11,"C:"
5528.14,"C:"
5530.11,"C:"
5530.14,"C:"
5566.12,"C:"
5574.11,"C:"
5574.14,"C:"
5589.12,"C:"
5611.12,"C:"
5612.12,"C:"
5622.34,"C:"
5629.12,"C:"
5639.12,"C:"
5648.12,"C:"
5650.12,"C:"
5687.12,"C:"
5692.12,"C:"
5722.5,"C:"
5726.12,"C:"
5730.12,"C:"
5730.12,"C:"
5817.12,"C:"
5826.12,"C:"
5828.12,"C:"
5830.12,"C:"
5835.12,"C:"
5837.12,"C:"
5843.12,"C:"
5915.12,"C:"
5950.12,"C:"
5962.12,"C:"
5966.12,"C:"
5971.12,"C:"
5980.12,"C:"
5984.12,"C:"
5986.12,"C:"
5988.12,"C:"
5989.12,"C:"
5990.12,"C:"
6026.1,"C:"
6071.1,"C:"
6082.1,"C:"
6141.1,"C:"
6150.1,"C:"
6155.12,"C:"
6171.1,"C:"
6175.1,"C:"
6178.1,"C:"
6181.1,"C:"
6185.1,"C:"
6190.1,"C:"
6203.1,"C:"
6213.12,"C:"
6222.1,"C:"
6226.1,"C:"
6228.1,"C:"
6234.1,"C:"
6241.1,"C:"
6242.1,"C:"
6245.1,"C:"
6248.1,"C:"
6251.1,"C:"
6261.1,"C:"
6267.1,"C:"
6294.1,"C:"
6304.1,"C:"
6306.1,"C:"
6312.12,"C:"
6325.1,"C:"
6325.2,"C:"
6330.12,"C:"
6356.12,"C:"
6357.12,"C:"
